timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1615701645313,268,Open_Category_Page-0,301,Moved Permanently,Thread Group 1-1,,true,,1407,460,10,10,http://demo.nopcommerce.com/notebooks,268,0,0
1615701645582,700,Open_Category_Page-1,200,OK,Thread Group 1-1,text,true,,8091,725,10,10,https://demo.nopcommerce.com/notebooks,699,0,0
1615701645312,969,Open_Category_Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,9498,1185,10,10,null,268,3,0
1615701645534,763,Open_Main_Page,200,OK,Thread Group 1-6,text,true,,8794,1071,10,10,https://demo.nopcommerce.com/,270,0,0
1615701645534,270,Open_Main_Page-0,301,Moved Permanently,Thread Group 1-6,,true,,1396,403,10,10,http://demo.nopcommerce.com/,270,0,0
1615701645804,493,Open_Main_Page-1,200,OK,Thread Group 1-6,text,true,,7398,668,10,10,https://demo.nopcommerce.com/,493,0,0
1615701645534,763,Open_Main_Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,8794,1071,10,10,null,270,0,0
1615701645611,792,Open_Category_Page,200,OK,Thread Group 1-10,text,true,,8481,1185,10,10,https://demo.nopcommerce.com/software,293,0,0
1615701645611,293,Open_Category_Page-0,301,Moved Permanently,Thread Group 1-10,,true,,1400,459,10,10,http://demo.nopcommerce.com/software,293,0,0
1615701645904,499,Open_Category_Page-1,200,OK,Thread Group 1-10,text,true,,7081,726,10,10,https://demo.nopcommerce.com/software,498,0,0
1615701645610,792,Open_Category_Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,8481,1185,10,10,null,293,5,0
1615701645633,795,Open_Category_Page,200,OK,Thread Group 1-7,text,true,,8484,1184,10,10,https://demo.nopcommerce.com/desktops,277,0,0
1615701645633,277,Open_Category_Page-0,301,Moved Permanently,Thread Group 1-7,,true,,1400,459,10,10,http://demo.nopcommerce.com/desktops,277,0,0
1615701645910,518,Open_Category_Page-1,200,OK,Thread Group 1-7,text,true,,7084,725,10,10,https://demo.nopcommerce.com/desktops,518,0,0
1615701645633,795,Open_Category_Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,8484,1184,10,10,null,277,3,0
1615701645650,833,Open_Item_Page,200,OK,Thread Group 1-8,text,true,,12379,1222,10,10,https://demo.nopcommerce.com/sound-forge-pro-11-recurring,326,0,0
1615701645650,326,Open_Item_Page-0,301,Moved Permanently,Thread Group 1-8,,true,,1424,478,10,10,http://demo.nopcommerce.com/sound-forge-pro-11-recurring,326,0,0
1615701645976,507,Open_Item_Page-1,200,OK,Thread Group 1-8,text,true,,10955,744,10,10,https://demo.nopcommerce.com/sound-forge-pro-11-recurring,506,0,0
1615701645650,833,Open_Item_Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,12379,1222,10,10,null,326,0,0
1615701645795,687,Open_Computers_Page,200,OK,Thread Group 1-5,text,true,,7711,1168,10,10,https://demo.nopcommerce.com/computers,283,0,0
1615701645795,283,Open_Computers_Page-0,301,Moved Permanently,Thread Group 1-5,,true,,1401,451,10,10,http://demo.nopcommerce.com/computers,283,0,0
1615701646079,403,Open_Computers_Page-1,200,OK,Thread Group 1-5,text,true,,6310,717,10,10,https://demo.nopcommerce.com/computers,403,0,0
1615701645795,687,Open_Computers_Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,7711,1168,10,10,null,283,4,0
1615701646167,783,Open_Computers_Page,200,OK,Thread Group 1-3,text,true,,7732,1167,10,10,https://demo.nopcommerce.com/computers,264,0,0
1615701646167,264,Open_Computers_Page-0,301,Moved Permanently,Thread Group 1-3,,true,,1403,451,10,10,http://demo.nopcommerce.com/computers,264,0,0
1615701646431,519,Open_Computers_Page-1,200,OK,Thread Group 1-3,text,true,,6329,716,10,10,https://demo.nopcommerce.com/computers,518,0,0
1615701646167,783,Open_Computers_Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,7732,1167,10,10,null,264,4,0
1615701646133,859,Open_Item_Page,200,OK,Thread Group 1-2,text,true,,12035,1206,10,10,https://demo.nopcommerce.com/adobe-photoshop-cs4,269,0,0
1615701646133,269,Open_Item_Page-0,301,Moved Permanently,Thread Group 1-2,,true,,1417,469,10,10,http://demo.nopcommerce.com/adobe-photoshop-cs4,269,0,0
1615701646402,590,Open_Item_Page-1,200,OK,Thread Group 1-2,text,true,,10618,737,10,10,https://demo.nopcommerce.com/adobe-photoshop-cs4,589,0,0
1615701646133,859,Open_Item_Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,12035,1206,10,10,null,269,0,0
1615701646160,834,Open_Category_Page,200,OK,Thread Group 1-9,text,true,,8496,1185,10,10,https://demo.nopcommerce.com/software,268,0,0
1615701646160,268,Open_Category_Page-0,301,Moved Permanently,Thread Group 1-9,,true,,1402,459,10,10,http://demo.nopcommerce.com/software,268,0,0
1615701646429,565,Open_Category_Page-1,200,OK,Thread Group 1-9,text,true,,7094,726,10,10,https://demo.nopcommerce.com/software,565,0,0
1615701646160,834,Open_Category_Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,8496,1185,10,10,null,268,4,0
1615701646298,831,Open_Computers_Page,200,OK,Thread Group 1-6,text,true,,7741,1167,10,10,https://demo.nopcommerce.com/computers,239,0,0
